LINE - 13 : [ 2025-11-14 01:39:22,204 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [35] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:39:22,204 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [35] error message [Failed to connect to mongodb!!]]
LINE - 22 : [ 2025-11-14 01:39:50,928 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:39:50,980 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [35] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:39:50,980 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [35] error message [Failed to connect to mongodb!!]]
LINE - 22 : [ 2025-11-14 01:39:56,633 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:39:56,680 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [35] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:39:56,680 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [35] error message [Failed to connect to mongodb!!]]
LINE - 22 : [ 2025-11-14 01:40:29,050 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:40:29,855 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [45] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:40:29,855 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [45] error message [Failed to connect to mongodb!!]]
LINE - 23 : [ 2025-11-14 01:41:05,277 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:41:06,073 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [46] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:41:06,073 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [46] error message [Failed to connect to mongodb!!]]
LINE - 23 : [ 2025-11-14 01:42:01,621 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:42:02,423 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [46] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:42:02,423 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [46] error message [Failed to connect to mongodb!!]]
LINE - 23 : [ 2025-11-14 01:42:28,006 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:42:28,949 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [47] error message [Failed to connect to mongodb!!]
